subject_id	legacy_subject_id	abbreviation	subject_label	cl_id	cl_label	match_type	uncertain	review_status	evidence_override	note	lexical_evidence	literature_evidence	evidence_source	curator_evidence
SOULCAP:SC000001	SOULCAP:NK	NK	Natural Killer Cell	CL:0000623	natural killer cell	Exact		needs_review	no_marker_axiom	CL:0000623 asserts only negative exclusion markers (CD14-/CD19-/CD3-/CD20-); the defining positive CD56 marker is absent — a documented CL gap (cl_term_issues.md), not confirmed here.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000002	SOULCAP:NK2	NK2	Natural Killer Cell 2	CL:0000938	CD16-negative, CD56-bright natural killer cell, human	Exact		needs_review					reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000003	SOULCAP:CTNK	CTNK	Cytotoxic Natural Killer Cell	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	Exact		needs_review					reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000004	SOULCAP:NK1	NK1	Natural Killer Cell 1	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	Broad		needs_review		CL does not distinguish CD57 status within this subtype.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000005	SOULCAP:NK3	NK3	Natural Killer Cell 3	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	Broad		needs_review		CL does not distinguish CD57 status within this subtype.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000006	SOULCAP:ILCp	ILCp	Innate Lymphoid Cell Progenitor	CL:0001074	CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human	Broad	true	needs_review		SOULCAP profile does not test CD34; CL:0001073 (CD34-negative) and CL:0001082 (immature innate lymphoid cell) are equally marker-consistent alternatives, not ruled out.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000007	SOULCAP:ILC	ILC	Innate Lymphoid Cell	CL:0001065	innate lymphoid cell	Exact		needs_review	no_marker_axiom	Marker-axiom scoring found nothing useful for this lineage; match is lexical/name-based only, not CL-marker-supported.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000008	SOULCAP:ILC1	ILC1	Innate Lymphoid Cell 1	CL:0001067	group 1 innate lymphoid cell	Exact		needs_review	no_marker_axiom	Marker-axiom scoring found nothing useful for this lineage; match is lexical/name-based only. No human-specific CL term exists for group 1 (unlike group 2/3); filed as CL gap, repo issue #14.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000009	SOULCAP:ILC2	ILC2	Innate Lymphoid Cell 2	CL:0001081	group 2 innate lymphoid cell, human	Exact		needs_review	no_marker_axiom	Marker-axiom scoring found nothing useful for this lineage; match is lexical/name-based only, confirmed by direct OLS4 lookup after the batch lexical search had picked the wrong-species term.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000010	SOULCAP:ILC3	ILC3	Innate Lymphoid Cell 3	CL:0001078	group 3 innate lymphoid cell, human	Exact		needs_review	no_marker_axiom	Marker-axiom scoring found nothing useful for this lineage; match is lexical/name-based only, confirmed by direct OLS4 lookup after the batch lexical search had over-specified to an NKp44+ subtype.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000011	SOULCAP:cDC	cDC	Conventional Dendritic Cell	CL:0000990	conventional dendritic cell	Exact		needs_review	no_marker_axiom	Marker-axiom scoring returned unrelated candidates; match is lexical/name-based only.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000012	SOULCAP:cDC1	cDC1	Conventional Dendritic Cell 1	CL:0002394	CD141-positive myeloid dendritic cell	Exact		needs_review	no_marker_axiom	Marker-axiom scoring returned unrelated candidates; match is lexical/name-based only, confirmed by direct OLS4 lookup after the batch lexical search had wrongly assigned cDC1 the same term as cDC2.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000013	SOULCAP:cDC2	cDC2	Conventional Dendritic Cell 2	CL:0002399	CD1c-positive myeloid dendritic cell	Exact		needs_review	no_marker_axiom	Marker-axiom scoring returned unrelated candidates; match is lexical/name-based only, confirmed correct by cross-check against cDC1.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000014	SOULCAP:pDC	pDC	Plasmacytoid Dendritic Cell	CL:0001058	plasmacytoid dendritic cell, human	Exact		needs_review	no_marker_axiom	Marker-axiom scoring returned unrelated candidates; match is lexical/name-based only. Sheet's Full Name reads 'Peripheral Dendritic Cell' (likely a typo for 'Plasmacytoid'); not yet corrected at source.			reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000015	SOULCAP:Basophil_(PBMC)	Basophil (PBMC)	Basophil	CL:0000043	mature basophil	Exact		needs_review					reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000016	SOULCAP:Basophil_(WB)	Basophil (WB)	Basophil	CL:0000043	mature basophil	Exact		needs_review					reports/candidate_cl_mappings_narrative.md	
SOULCAP:SC000017	SOULCAP:Mono	Mono	Monocyte	CL:0000576	monocyte	Exact		needs_review	sheet_confirmed	OAK-verified exact label match (OLS4 was timing out); CL:0000576 has no marker axioms recorded at all. Sheet-confirmed 2026-08: the master Google Sheet's 'OLS CL identifier' column was independently populated with this same CL ID.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	Sheet confirmation recorded in existing local edits (2026-08); retained without independent re-verification.
SOULCAP:SC000018	SOULCAP:CMo	CMo	Classical Monocyte	CL:0000860	classical monocyte	Exact		needs_review	sheet_confirmed	OAK-verified exact label match. CL:0000860 asserts only CCR2 (CD192) and lineage negatives, not the CD14/CD16 axioms that actually define this subset — already tracked by repo issue #12. Sheet-confirmed 2026-08: the master Google Sheet's 'OLS CL identifier' column was independently populated with this same CL ID.	Legacy note records OAK verification; no query artifact retained.		reports/candidate_cl_mappings_narrative.md	Sheet confirmation recorded in existing local edits (2026-08); retained without independent re-verification.
