cl_id	cl_label	pr_id	pr_label	cd_synonym	species_support	evidence_source	citation	quote	source_ref
CL:0000623	natural killer cell	PR:000001289	membrane-spanning 4-domains subfamily A member 1	CD20 (exact)	human	m2_literature_report	Scoville SD et al. 2017 (PMID:28396671; DOI:10.3389/fimmu.2017.00360)	ILCs are identified as “lineage” (Lin) negative lymphocytes, lacking expression of surface markers more specifically expressed on T cells (CD3, CD5, TCR), B cells (CD19, CD20, BCR), myelomonocytic cells (CD14, CD15, CD36), and dendritic cells (DCs) (CD116, CD123, CD303).	reports/literature/nk_cell_markers.md
CL:0000623	natural killer cell	PR:000001889	CD14 molecule	CD14 (label)	human	m2_literature_report	Van Acker HH et al. 2017 (PMID:28791027; DOI:10.3389/fimmu.2017.00892)	there also exists a CD56− NK cell subpopulation, namely CD3−CD4−CD14−CD19−CD16+NKp46+ lymphocytes	reports/literature/nk_cell_markers.md
CL:0000624	CD4-positive, alpha-beta T cell	PR:000025402	T cell receptor co-receptor CD8	CD8 (label)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244)	CD3+/CD8−/CD4+/CCR7+/CD45RA+	reports/literature/t_cell_markers.md
CL:0000624	CD4-positive, alpha-beta T cell	PR:000001004	CD4 molecule	CD4 (label)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244)	CD3+/CD8−/CD4+/CCR7+/CD45RA+	reports/literature/t_cell_markers.md
CL:0000625	CD8-positive, alpha-beta T cell	PR:000001004	CD4 molecule	CD4 (label)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244)	CD3+/CD8+/CD4−/CCR7+/CD45RA+	reports/literature/t_cell_markers.md
CL:0000625	CD8-positive, alpha-beta T cell	PR:000025402	T cell receptor co-receptor CD8	CD8 (label)	human	m2_literature_report	Finak G et al. 2016 (PMID: 26861911; DOI: 10.1038/srep20686; PMC: PMC4748244)	CD3+/CD8+/CD4−/CCR7+/CD45RA+	reports/literature/t_cell_markers.md
CL:0000771	eosinophil	PR:000001254	C-C chemokine receptor type 1	CD191 (exact)	insufficient_evidence	none			CD191/CCR1 not among the markers studied in PMID:38666394 (CCR3/CD193 is, but not CCR1); no other eosinophil-specific CD191 evidence found via targeted EuropePMC search.
CL:0000771	eosinophil	PR:000001255	C-C chemokine receptor type 3	CD193 (exact)	human	europepmc_search	(Cytometry B) 2024 (PMID:38666394; DOI:10.1002/cyto.b.22174) -- flow cytometric immunophenotyping of eosinophilopoiesis in normal human bone marrow	candidate markers that included EMR-1, Siglec-8, CCR3, CD9, CD11a, CD11b, CD11c, CD13, CD16, CD29, CD34, CD38, CD45, CD44, CD49d, CD49f, CD54, CD62L, CD69, CD117, CD125 (IL-5Rα), HLA-DR, using 10 parameter flow cytometry	https://europepmc.org/article/MED/38666394
CL:0000771	eosinophil	PR:000001307	CD44 molecule	CD44 (label); CDw44 (exact)	human	europepmc_search	(Cytometry B) 2024 (PMID:38666394; DOI:10.1002/cyto.b.22174) -- flow cytometric immunophenotyping of eosinophilopoiesis in normal human bone marrow	candidate markers that included EMR-1, Siglec-8, CCR3, CD9, CD11a, CD11b, CD11c, CD13, CD16, CD29, CD34, CD38, CD45, CD44, CD49d, CD49f, CD54, CD62L, CD69, CD117, CD125 (IL-5Rα), HLA-DR, using 10 parameter flow cytometry	https://europepmc.org/article/MED/38666394
CL:0000771	eosinophil	PR:000001343	CD69 molecule	CD69 (label)	human	europepmc_search	(Cytometry B) 2024 (PMID:38666394; DOI:10.1002/cyto.b.22174) -- flow cytometric immunophenotyping of eosinophilopoiesis in normal human bone marrow	candidate markers that included EMR-1, Siglec-8, CCR3, CD9, CD11a, CD11b, CD11c, CD13, CD16, CD29, CD34, CD38, CD45, CD44, CD49d, CD49f, CD54, CD62L, CD69, CD117, CD125 (IL-5Rα), HLA-DR, using 10 parameter flow cytometry	https://europepmc.org/article/MED/38666394
CL:0000771	eosinophil	PR:000005178	CD9 molecule	CD9 (label)	human	europepmc_search	(Cytometry B) 2024 (PMID:38666394; DOI:10.1002/cyto.b.22174) -- flow cytometric immunophenotyping of eosinophilopoiesis in normal human bone marrow	candidate markers that included EMR-1, Siglec-8, CCR3, CD9, CD11a, CD11b, CD11c, CD13, CD16, CD29, CD34, CD38, CD45, CD44, CD49d, CD49f, CD54, CD62L, CD69, CD117, CD125 (IL-5Rα), HLA-DR, using 10 parameter flow cytometry	https://europepmc.org/article/MED/38666394
CL:0000775	neutrophil	PR:000001479	low affinity immunoglobulin gamma Fc region receptor II	CD32 (broad)	human	europepmc_search	Su K et al. 2007 (PMID:17312177; DOI:10.4049/jimmunol.178.5.3272) -- FcγRIIb (CD32B) expression profiling in human circulating leukocytes	we found that FcgammaRIIb is expressed on the cell surface of circulating B lymphocytes, monocytes, neutrophils, myeloid dendritic cells (DCs), and at very low levels on plasmacytoid DCs from some donors	https://europepmc.org/article/MED/17312177
CL:0000775	neutrophil	PR:000001879	leukosialin	CD43 (related)	insufficient_evidence	none			CD43 not found in any targeted EuropePMC search in a human-neutrophil-specific context ('CD43 leukosialin human neutrophil' returned unrelated papers).
