subject_id	specimen	abbreviation	full_name	parent	type_of_match	existing_cl_id	rank	cl_id	cl_label	score	hint_bonus	matched	contradictions	gaps	disqualified	note
SOULCAP:SC000001		NK	Natural Killer Cell		Exact		1	CL:0002338	CD56-positive, CD161-positive immature natural killer cell, human	23	3	CD14- (1 of 3 alt.), CD34-, CD3-, CD19-, CD56+ (1 of 2 alt.)		CD45+, CD127-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-, CD33-/CD64- (no axiom on any alt.)	no	
SOULCAP:SC000001		NK	Natural Killer Cell		Exact		2	CL:0000938	CD16-negative, CD56-bright natural killer cell, human	19	3	CD14- (1 of 3 alt.), CD3-, CD19-, CD56+ (hi) (1 of 2 alt.)		CD34-, CD45+, CD127-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-, CD33-/CD64- (no axiom on any alt.)	no	
SOULCAP:SC000001		NK	Natural Killer Cell		Exact		3	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	19	3	CD14- (1 of 3 alt.), CD3-, CD19-, CD56+ (dim) (1 of 2 alt.)		CD34-, CD45+, CD127-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-, CD33-/CD64- (no axiom on any alt.)	no	
SOULCAP:SC000002		NK2	Natural Killer Cell 2	NK	Surface Only (SO)		1	CL:0000938	CD16-negative, CD56-bright natural killer cell, human	23	3	CD14- (1 of 3 alt.), CD3-, CD19-, CD56:high (hi), CD16- (1 of 2 alt.)		CD34-, CD45+, CD127-, CD57-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000002		NK2	Natural Killer Cell 2	NK	Surface Only (SO)		2	CL:0002343	decidual natural killer cell, human	23	3	CD14- (1 of 3 alt.), CD3-, CD19-, CD56:high (hi), CD16- (1 of 2 alt.)		CD34-, CD45+, CD127-, CD57-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000002		NK2	Natural Killer Cell 2	NK	Surface Only (SO)		3	CL:0002338	CD56-positive, CD161-positive immature natural killer cell, human	19	3	CD14- (1 of 3 alt.), CD34-, CD3-, CD19-		CD45+, CD56:high, CD127-, CD16-/CD16:low (no axiom on any alt.), CD57-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000003		CTNK	Cytotoxice Natural Killer Cell	NK	SO and Cytokine		1	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	23	3	CD14- (1 of 3 alt.), CD3-, CD19-, CD56+ (dim) (1 of 2 alt.), CD16+		CD34-, CD45+, CD127-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000003		CTNK	Cytotoxice Natural Killer Cell	NK	SO and Cytokine		2	CL:0002338	CD56-positive, CD161-positive immature natural killer cell, human	23	3	CD14- (1 of 3 alt.), CD34-, CD3-, CD19-, CD56+ (1 of 2 alt.)		CD45+, CD127-, CD16+, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000003		CTNK	Cytotoxice Natural Killer Cell	NK	SO and Cytokine		3	CL:0001073	CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human	17	1	CD34-, CD3-, CD19-, CD56+ (1 of 2 alt.)		CD14-/CD33-/CD64- (no axiom on any alt.), CD45+, CD127-, CD16+, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000004		NK1	Natural Killer Cell 1	CTNK	SO and TF		1	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	23	3	CD14- (1 of 3 alt.), CD3-, CD19-, CD56+ (dim), CD16+		CD34-, CD45+, CD127-, CD57-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000004		NK1	Natural Killer Cell 1	CTNK	SO and TF		2	CL:0002338	CD56-positive, CD161-positive immature natural killer cell, human	23	3	CD14- (1 of 3 alt.), CD34-, CD3-, CD19-, CD56+		CD45+, CD127-, CD16+, CD57-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
SOULCAP:SC000004		NK1	Natural Killer Cell 1	CTNK	SO and TF		3	CL:0001073	CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human	17	1	CD34-, CD3-, CD19-, CD56+		CD14-/CD33-/CD64- (no axiom on any alt.), CD45+, CD127-, CD16+, CD57-, HLA-DR:not:positive/CD11C:not:high (no axiom on any alt.), CD15-/CD66B- (no axiom on any alt.), CD123-	no	
